Date,Open,High,Low,Close,Adj Close,Volume
2018-03-10,0.026499,0.028772,0.026063,0.028618,0.028618,171820
2018-03-11,0.028520,0.033503,0.026241,0.031883,0.031883,279104
2018-03-12,0.031496,0.034305,0.028595,0.030258,0.030258,218114
2018-03-13,0.029902,0.030913,0.025711,0.027902,0.027902,167669
2018-03-14,0.027723,0.028685,0.023747,0.024386,0.024386,131838
2018-03-15,0.024375,0.024720,0.021852,0.024465,0.024465,114232
2018-03-16,0.024451,0.026424,0.018755,0.024532,0.024532,121884
2018-03-17,0.024572,0.024924,0.021598,0.022769,0.022769,108011
2018-03-18,0.022634,0.023218,0.017096,0.022619,0.022619,141594
2018-03-19,0.022523,0.024033,0.020037,0.021576,0.021576,91701
2018-03-20,0.021730,0.024839,0.020456,0.023821,0.023821,142551
2018-03-21,0.023953,0.024979,0.023100,0.024240,0.024240,128385
2018-03-22,0.024018,0.025366,0.023613,0.024538,0.024538,121106
2018-03-23,0.025582,0.026967,0.023532,0.026967,0.026967,235444
2018-03-24,0.027270,0.030314,0.027100,0.030262,0.030262,296754
2018-03-25,0.029846,0.038027,0.027307,0.035644,0.035644,368038
2018-03-26,0.035532,0.040840,0.031539,0.039347,0.039347,541192
2018-03-27,0.039606,0.072924,0.036271,0.069774,0.069774,1238850
2018-03-28,0.069758,0.069758,0.048123,0.055492,0.055492,959747
2018-03-29,0.055565,0.055716,0.038078,0.042220,0.042220,624739
2018-03-30,0.041280,0.043694,0.034339,0.042027,0.042027,347425
2018-03-31,0.042023,0.046902,0.041767,0.043047,0.043047,282004
2018-04-01,0.042443,0.044022,0.037823,0.040098,0.040098,246276
2018-04-02,0.040345,0.045848,0.040019,0.045848,0.045848,307460
2018-04-03,0.046160,0.047901,0.033028,0.040263,0.040263,719613
2018-04-04,0.041596,0.041596,0.025762,0.037707,0.037707,245553
2018-04-05,0.037743,0.040783,0.034644,0.039280,0.039280,254435
2018-04-06,0.039870,0.040422,0.035381,0.036971,0.036971,244102
2018-04-07,0.037014,0.041654,0.036898,0.040532,0.040532,251242
2018-04-08,0.040364,0.042728,0.040364,0.042151,0.042151,305840
2018-04-09,0.042215,0.043492,0.037286,0.040487,0.040487,306250
2018-04-10,0.040526,0.040809,0.034898,0.038963,0.038963,2017920
2018-04-11,0.039069,0.039530,0.036873,0.038198,0.038198,251900
2018-04-12,0.038574,0.042796,0.036863,0.040003,0.040003,331989
2018-04-13,0.040006,0.041207,0.036160,0.039954,0.039954,369097
2018-04-14,0.039998,0.042427,0.036890,0.037558,0.037558,290152
2018-04-15,0.037680,0.038409,0.030797,0.035643,0.035643,346408
2018-04-16,0.035960,0.037776,0.029585,0.033911,0.033911,289734
2018-04-17,0.033925,0.034590,0.032036,0.033924,0.033924,227382
2018-04-18,0.033937,0.035768,0.031922,0.034416,0.034416,268242
2018-04-19,0.034417,0.038865,0.033018,0.038213,0.038213,373843
2018-04-20,0.038256,0.038916,0.033898,0.036853,0.036853,411616
2018-04-21,0.036937,0.038926,0.035073,0.037691,0.037691,592313
2018-04-22,0.037701,0.037719,0.034473,0.034585,0.034585,494366
2018-04-23,0.034495,0.037546,0.034475,0.037089,0.037089,491270
2018-04-24,0.037186,0.037619,0.035127,0.035751,0.035751,492001
2018-04-25,0.035636,0.035997,0.028560,0.031401,0.031401,228810
2018-04-26,0.031567,0.033754,0.030199,0.033077,0.033077,214584
2018-04-27,0.033120,0.035881,0.027849,0.033570,0.033570,243629
2018-04-28,0.033528,0.035140,0.028037,0.033833,0.033833,341170
2018-04-29,0.033821,0.035147,0.027765,0.031453,0.031453,220497
2018-04-30,0.031263,0.034644,0.030149,0.033909,0.033909,256312
2018-05-01,0.034735,0.034735,0.027745,0.034145,0.034145,295863
2018-05-02,0.034359,0.043330,0.033800,0.043190,0.043190,749478
2018-05-03,0.043197,0.057465,0.041983,0.054248,0.054248,1197660
2018-05-04,0.054304,0.057790,0.034980,0.051117,0.051117,978881
2018-05-05,0.051279,0.054867,0.044841,0.048073,0.048073,501585
2018-05-06,0.048006,0.051844,0.045482,0.049578,0.049578,487603
2018-05-07,0.052415,0.052415,0.046858,0.049600,0.049600,480291
2018-05-08,0.049970,0.052217,0.046670,0.048596,0.048596,585106
2018-05-09,0.048428,0.049130,0.046955,0.048660,0.048660,1036650
2018-05-10,0.048651,0.054273,0.048621,0.052276,0.052276,932847
2018-05-11,0.052258,0.052692,0.044041,0.045515,0.045515,561293
2018-05-12,0.045349,0.046160,0.043023,0.043902,0.043902,457302
2018-05-13,0.043883,0.049086,0.043149,0.045752,0.045752,850933
2018-05-14,0.045790,0.048264,0.044327,0.046312,0.046312,432963
2018-05-15,0.046271,0.046964,0.043513,0.044520,0.044520,436894
2018-05-16,0.044521,0.044674,0.041106,0.041530,0.041530,436141
2018-05-17,0.041504,0.043917,0.036149,0.036650,0.036650,369081
2018-05-18,0.036680,0.039960,0.035717,0.037932,0.037932,335849
2018-05-19,0.038306,0.040784,0.037510,0.037775,0.037775,229854
2018-05-20,0.037793,0.041149,0.037695,0.039062,0.039062,544533
2018-05-21,0.039091,0.040994,0.038008,0.039430,0.039430,365831
2018-05-22,0.039501,0.042521,0.037371,0.037371,0.037371,490521
2018-05-23,0.037365,0.038978,0.036995,0.037184,0.037184,507144
2018-05-24,0.037176,0.037883,0.034497,0.036628,0.036628,259493
2018-05-25,0.036897,0.037127,0.034691,0.035427,0.035427,317797
2018-05-26,0.035370,0.036154,0.034488,0.034501,0.034501,282742
2018-05-27,0.034508,0.035636,0.033901,0.035179,0.035179,328707
2018-05-28,0.035178,0.035291,0.029174,0.029704,0.029704,297591
2018-05-29,0.029692,0.034063,0.029692,0.034063,0.034063,364544
2018-05-30,0.030866,0.032533,0.028591,0.029702,0.029702,284707
2018-05-31,0.029596,0.033515,0.029299,0.033424,0.033424,481572
2018-06-01,0.033438,0.033949,0.029617,0.030598,0.030598,317649
2018-06-02,0.030316,0.032369,0.030292,0.032100,0.032100,452174
2018-06-03,0.032132,0.032186,0.030001,0.030736,0.030736,368214
2018-06-04,0.030746,0.031467,0.029941,0.030077,0.030077,350035
2018-06-05,0.030083,0.030340,0.028121,0.030195,0.030195,291967
2018-06-06,0.030190,0.030647,0.028873,0.029521,0.029521,476985
2018-06-07,0.029554,0.030197,0.028994,0.029325,0.029325,288514
2018-06-08,0.029336,0.029480,0.027440,0.027952,0.027952,169508
2018-06-09,0.027951,0.028868,0.027186,0.027186,0.027186,138917
2018-06-10,0.027144,0.027462,0.023938,0.024202,0.024202,125817
2018-06-11,0.024369,0.025493,0.023863,0.024359,0.024359,226409
2018-06-12,0.024339,0.024819,0.022816,0.023065,0.023065,164286
2018-06-13,0.023006,0.023703,0.019771,0.020475,0.020475,308041
2018-06-14,0.020501,0.024754,0.020501,0.024670,0.024670,320160
2018-06-15,0.024637,0.025697,0.023384,0.024390,0.024390,361065
2018-06-16,0.024318,0.024465,0.022886,0.023759,0.023759,259808
2018-06-17,0.023787,0.023893,0.022176,0.022266,0.022266,197094
2018-06-18,0.022194,0.022241,0.020885,0.021587,0.021587,173708
2018-06-19,0.021628,0.022335,0.020968,0.021992,0.021992,214280
2018-06-20,0.021986,0.023476,0.021274,0.022839,0.022839,329521
2018-06-21,0.022890,0.025004,0.022698,0.023205,0.023205,417437
2018-06-22,0.023008,0.024082,0.019684,0.019714,0.019714,307179
2018-06-23,0.019836,0.021261,0.019622,0.020212,0.020212,159411
2018-06-24,0.020237,0.020624,0.018987,0.019457,0.019457,261562
2018-06-25,0.019473,0.020375,0.018689,0.018955,0.018955,209462
2018-06-26,0.018849,0.019564,0.017769,0.017784,0.017784,224258
2018-06-27,0.017733,0.017986,0.015492,0.016476,0.016476,268753
2018-06-28,0.016497,0.017352,0.015402,0.015948,0.015948,227342
2018-06-29,0.015976,0.016040,0.014128,0.015815,0.015815,220533
2018-06-30,0.015808,0.017337,0.015022,0.016901,0.016901,203596
2018-07-01,0.016868,0.016929,0.015221,0.015437,0.015437,233474
2018-07-02,0.015423,0.016878,0.014635,0.015496,0.015496,230745
2018-07-03,0.015504,0.016736,0.014879,0.014921,0.014921,234567
2018-07-04,0.014907,0.016242,0.014552,0.014876,0.014876,262931
2018-07-05,0.014898,0.015310,0.012497,0.013238,0.013238,249897
2018-07-06,0.013243,0.015731,0.013097,0.014353,0.014353,255893
2018-07-07,0.014350,0.018887,0.014022,0.017656,0.017656,309608
2018-07-08,0.018191,0.019860,0.016159,0.016562,0.016562,262574
2018-07-09,0.016471,0.017311,0.015524,0.015564,0.015564,235889
2018-07-10,0.015611,0.016962,0.015109,0.015137,0.015137,226187
2018-07-11,0.015230,0.015667,0.014544,0.014721,0.014721,185789
