,date,height_RVN,flow_RVN,stock_RVN,open_RVN,high_RVN,low_RVN,close_RVN,adj_close_RVN,volume_RVN,open_BTC,high_BTC,low_BTC,close_BTC,adj_close_BTC,volume_BTC
71,2018-03-15,7170000,7170000,605025000,0.024375,0.02472,0.021852,0.024465,0.024465,114232.0,8290.759766,8428.349609,7783.049805,8300.860352,8300.860352,6834429952.0
72,2018-03-16,7595000,7595000,612620000,0.024451,0.026424,0.018755,0.024531999999999998,0.024531999999999998,121884.0,8322.910156,8585.150391,8005.310059,8338.349609,8338.349609,5289379840.0
73,2018-03-17,7325000,7325000,619945000,0.024572,0.024924,0.021598,0.022769,0.022769,108011.0,8321.910156,8346.530273,7812.819823999999,7916.879883,7916.879883,4426149888.0
74,2018-03-18,7260000,7260000,627205000,0.022634,0.023218,0.017096,0.022619,0.022619,141594.0,7890.52002,8245.509766,7397.990234000001,8223.679688,8223.679688,6639190016.0
75,2018-03-19,7055000,7055000,634260000,0.022522999999999998,0.024033000000000002,0.020037,0.021575999999999998,0.021575999999999998,91701.0,8344.120117,8675.870117,8182.399901999999,8630.650391,8630.650391,6729110016.0
76,2018-03-20,7095000,7095000,641355000,0.021730000000000003,0.024839,0.020456000000000002,0.023821000000000002,0.023821000000000002,142551.0,8619.669922,9051.019531,8389.889648,8913.469727,8913.469727,6361789952.0
77,2018-03-21,7015000,7015000,648370000,0.023953,0.024978999999999998,0.0231,0.02424,0.02424,128385.0,8937.480469,9177.370117,8846.330078,8929.280273,8929.280273,6043129856.0
78,2018-03-22,7525000,7525000,655895000,0.024018,0.025366,0.023613,0.024538,0.024538,121106.0,8939.44043,9100.709961,8564.900391,8728.469727,8728.469727,5530390016.0
79,2018-03-23,7665000,7665000,663560000,0.025582,0.026967,0.023532,0.026967,0.026967,235444.0,8736.25,8879.620117,8360.620117,8879.620117,8879.620117,5954120192.0
80,2018-03-24,8045000,8045000,671605000,0.02727,0.030313999999999997,0.0271,0.030262,0.030262,296754.0,8901.950195,8996.179688,8665.700195,8668.120117,8668.120117,5664600064.0
81,2018-03-25,8210000,8210000,679815000,0.029845999999999998,0.038027,0.027306999999999998,0.035644,0.035644,368038.0,8612.80957,8682.009766,8449.099609,8495.780273,8495.780273,4569880064.0
82,2018-03-26,8360000,8360000,688175000,0.035532,0.040839999999999994,0.031539,0.039347,0.039347,541192.0,8498.469727,8530.080078,7921.430176000001,8209.400391,8209.400391,5921039872.0
83,2018-03-27,8595000,8595000,696770000,0.039606,0.072924,0.036271,0.069774,0.069774,1238850.0,8200.0,8232.780273,7797.279785,7833.040039,7833.040039,5378250240.0
84,2018-03-28,8880000,8880000,705650000,0.069758,0.069758,0.048123,0.05549199999999999,0.05549199999999999,959747.0,7836.830078,8122.890137,7809.169922,7954.47998,7954.47998,4935289856.0
85,2018-03-29,7325000,7325000,712975000,0.055564999999999996,0.055715999999999995,0.038078,0.04222,0.04222,624739.0,7979.069823999999,7994.330078,7081.379883,7165.700195,7165.700195,6361229824.0
